Index     ons     dos     tros         x1          y1          z1        x2        y2         z2         x3         y3          z3
163         2      1       3     -0.000010   -0.073540   0.001991   -0.001992   -0.007310   0.000000   -0.750618   25.000000   0.750618
164         1      3       0     -0.014759   0.004039   0.000000   0.661344   25.000000   0.750617      inf         inf         inf   
165         3      0       0     0.921543   25.000000   -0.753312       inf           inf           inf       inf   inf   inf
166         1      3       0     -0.040197   0.000686   0.000000   0.509162   25.000000   0.750617      inf         inf         inf   
167         3      0       0     0.895003   25.000000   -0.750837       inf           inf           inf       inf   inf   inf
168         1      3       0     -0.014803   -0.014558   0.000000   0.664102   25.000000   0.750620      inf         inf         inf   
169         3      0       0     0.831692   25.000000   -0.750188       inf           inf           inf       inf   inf   inf
170         1      2       3     -0.002057   -0.015817   0.000000   -0.000005   0.053247   0.002073   -0.750600   25.000000   0.750640
171         3      0       0     0.964917   25.000000   -0.751964       inf           inf           inf       inf   inf   inf
172         3      0       0     0.983922   25.000000   -0.748974       inf           inf           inf       inf   inf   inf
173         3      0       0     0.932954   25.000000   -0.751876       inf           inf           inf       inf   inf   inf
174         3      0       0     0.860311   25.000000   -0.750121       inf           inf           inf       inf   inf   inf
175         3      0       0     1.005683   25.000000   -0.750201       inf           inf           inf       inf   inf   inf
176         3      0       0     1.047512   25.000000   -0.749098       inf           inf           inf       inf   inf   inf
177         1      3       0     -0.011947   -0.007405   0.000000   0.680111   25.000000   0.750619      inf         inf         inf   
178         1      3       0     -0.035893   0.005181   0.000000   0.534389   25.000000   0.750617      inf         inf         inf   
179         1      3       0     -0.048774   0.015527   0.000000   0.455874   25.000000   0.750615      inf         inf         inf   
180         3      0       0     0.906446   25.000000   -0.750461       inf           inf           inf       inf   inf   inf
181         3      0       0     0.944883   25.000000   -0.750488       inf           inf           inf       inf   inf   inf
182         3      0       0     1.008012   25.000000   -0.748092       inf           inf           inf       inf   inf   inf
183         3      0       0     0.860361   25.000000   -0.751557       inf           inf           inf       inf   inf   inf
184         1      3       0     -0.025939   -0.002710   0.000000   0.595269   25.000000   0.750618      inf         inf         inf   
185         3      0       0     0.966700   25.000000   -0.752633       inf           inf           inf       inf   inf   inf
186         1      3       0     -0.030106   0.003167   0.000000   0.569389   25.000000   0.750617      inf         inf         inf   
187         1      3       0     -0.036443   -0.001735   0.000000   0.532034   25.000000   0.750618      inf         inf         inf   
188         3      0       0     0.974912   25.000000   -0.751322       inf           inf           inf       inf   inf   inf
189         3      0       0     0.936021   25.000000   -0.752623       inf           inf           inf       inf   inf   inf
190         2      1       3     -0.000033   -0.134233   0.004442   -0.004463   0.014129   0.000000   -0.750616   25.000000   0.750620
191         1      3       0     -0.047549   -0.005965   0.000000   0.465847   25.000000   0.750618      inf         inf         inf   
192         1      3       0     -0.043852   -0.009915   0.000000   0.488575   25.000000   0.750619      inf         inf         inf   
193         3      0       0     0.960060   25.000000   -0.748505       inf           inf           inf       inf   inf   inf
194         3      0       0     0.841350   25.000000   -0.749665       inf           inf           inf       inf   inf   inf
195         3      0       0     0.935038   25.000000   -0.749141       inf           inf           inf       inf   inf   inf
196         1      3       0     -0.015366   0.014136   0.000000   0.656071   25.000000   0.750616      inf         inf         inf   
197         3      0       0     0.994705   25.000000   -0.748488       inf           inf           inf       inf   inf   inf
198         1      3       0     -0.035650   -0.006355   0.000000   0.537431   25.000000   0.750618      inf         inf         inf   
199         1      3       0     -0.029430   0.001134   0.000000   0.573740   25.000000   0.750617      inf         inf         inf   
200         1      3       0     -0.028969   0.006164   0.000000   0.575777   25.000000   0.750617      inf         inf         inf   
201         1      3       0     -0.011785   0.005596   0.000000   0.678929   25.000000   0.750617      inf         inf         inf   
202         1      3       0     -0.043871   -0.008653   0.000000   0.488296   25.000000   0.750619      inf         inf         inf   
203         1      3       0     -0.034925   0.008608   0.000000   0.539724   25.000000   0.750616      inf         inf         inf   
204         1      2       3     -0.006303   -0.005957   0.000000   -0.000078   0.210185   0.006488   -0.750606   25.000000   0.750632
205         1      3       0     -0.042883   0.003738   0.000000   0.492644   25.000000   0.750617      inf         inf         inf   
206         3      0       0     0.945068   25.000000   -0.749558       inf           inf           inf       inf   inf   inf
207         1      3       0     -0.041678   -0.006619   0.000000   0.501226   25.000000   0.750618      inf         inf         inf   
208         3      0       0     0.959480   25.000000   -0.752562       inf           inf           inf       inf   inf   inf
209         1      3       0     -0.030957   -0.007318   0.000000   0.565784   25.000000   0.750619      inf         inf         inf   
210         1      3       0     -0.035390   0.013246   0.000000   0.536301   25.000000   0.750616      inf         inf         inf   
211         1      2       3     -0.003351   -0.005728   0.000000   -0.000021   0.107583   0.003401   -0.750610   25.000000   0.750626
212         1      3       0     -0.046067   0.001215   0.000000   0.473855   25.000000   0.750617      inf         inf         inf   
213         3      0       0     0.992882   25.000000   -0.752117       inf           inf           inf       inf   inf   inf
214         1      3       0     -0.045695   -0.002117   0.000000   0.476508   25.000000   0.750618      inf         inf         inf   
215         1      2       3     -0.006224   -0.006864   0.000000   -0.000075   0.206473   0.006404   -0.750598   25.000000   0.750642
216         3      0       0     1.002640   25.000000   -0.748984       inf           inf           inf       inf   inf   inf
217         1      3       0     -0.040552   0.000182   0.000000   0.507100   25.000000   0.750618      inf         inf         inf   
218         3      0       0     0.841620   25.000000   -0.751913       inf           inf           inf       inf   inf   inf
219         1      3       0     -0.030015   0.009648   0.000000   0.569008   25.000000   0.750616      inf         inf         inf   
220         1      3       0     -0.016212   0.006256   0.000000   0.652267   25.000000   0.750617      inf         inf         inf   
221         1      3       0     -0.020785   -0.007869   0.000000   0.627038   25.000000   0.750619      inf         inf         inf   
222         3      0       0     0.876780   25.000000   -0.750523       inf           inf           inf       inf   inf   inf
223         1      3       0     -0.031394   -0.016015   0.000000   0.564401   25.000000   0.750620      inf         inf         inf   
224         1      3       0     -0.034541   -0.016523   0.000000   0.545513   25.000000   0.750620      inf         inf         inf   
225         1      3       0     -0.047088   0.007870   0.000000   0.466904   25.000000   0.750617      inf         inf         inf   
226         3      0       0     0.934781   25.000000   -0.751421       inf           inf           inf       inf   inf   inf
227         1      2       3     -0.007488   -0.014005   0.000000   -0.000105   0.244065   0.007745   -0.750588   25.000000   0.750654
228         1      3       0     -0.017498   -0.016501   0.000000   0.648186   25.000000   0.750620      inf         inf         inf   
229         1      3       0     -0.049710   -0.004189   0.000000   0.452641   25.000000   0.750618      inf         inf         inf   
230         1      3       0     -0.035078   -0.007455   0.000000   0.541023   25.000000   0.750619      inf         inf         inf   
231         1      3       0     -0.048254   0.003817   0.000000   0.460408   25.000000   0.750617      inf         inf         inf   
232         2      1       3     -0.000028   -0.123714   0.003993   -0.004008   0.009511   0.000000   -0.750601   25.000000   0.750637
233         3      0       0     0.898985   25.000000   -0.753521       inf           inf           inf       inf   inf   inf
234         1      3       0     -0.044107   0.012207   0.000000   0.484227   25.000000   0.750616      inf         inf         inf   
235         2      1       3     -0.000002   -0.034148   0.001202   -0.001204   0.005934   0.000000   -0.750588   25.000000   0.750654
236         3      0       0     0.890859   25.000000   -0.749323       inf           inf           inf       inf   inf   inf
237         1      3       0     -0.048524   0.010534   0.000000   0.457975   25.000000   0.750616      inf         inf         inf   
238         3      0       0     1.021092   25.000000   -0.753020       inf           inf           inf       inf   inf   inf
239         3      0       0     0.991773   25.000000   -0.748862       inf           inf           inf       inf   inf   inf
240         2      1       3     -0.000179   -0.311256   0.009039   -0.009087   -0.010831   0.000000   -0.750600   25.000000   0.750639
241         1      3       0     -0.049936   -0.006872   0.000000   0.451605   25.000000   0.750619      inf         inf         inf   
242         3      0       0     0.883132   25.000000   -0.752447       inf           inf           inf       inf   inf   inf
243         3      0       0     1.017811   25.000000   -0.753271       inf           inf           inf       inf   inf   inf
244         3      0       0     0.837850   25.000000   -0.752221       inf           inf           inf       inf   inf   inf
245         1      3       0     -0.020859   -0.002023   0.000000   0.625683   25.000000   0.750618      inf         inf         inf   
246         1      3       0     -0.038940   0.002561   0.000000   0.516462   25.000000   0.750617      inf         inf         inf   
247         3      0       0     0.957129   25.000000   -0.749301       inf           inf           inf       inf   inf   inf
248         2      1       3     -0.000252   -0.368177   0.010764   -0.010835   -0.010405   0.000000   -0.750614   25.000000   0.750623
249         1      3       0     -0.026991   0.011871   0.000000   0.586802   25.000000   0.750616      inf         inf         inf   
250         1      3       0     -0.020062   -0.003108   0.000000   0.630640   25.000000   0.750618      inf         inf         inf   
251         1      3       0     -0.012232   0.001880   0.000000   0.676859   25.000000   0.750617      inf         inf         inf   
252         3      0       0     0.891123   25.000000   -0.753296       inf           inf           inf       inf   inf   inf
253         3      0       0     0.833455   25.000000   -0.753491       inf           inf           inf       inf   inf   inf
254         3      0       0     0.972549   25.000000   -0.747981       inf           inf           inf       inf   inf   inf
255         2      1       3     -0.000044   -0.154893   0.004720   -0.004737   0.002406   0.000000   -0.750582   25.000000   0.750661
256         1      3       0     -0.016103   -0.007703   0.000000   0.655168   25.000000   0.750619      inf         inf         inf   
257         3      0       0     0.861728   25.000000   -0.751953       inf           inf           inf       inf   inf   inf
258         3      0       0     0.883106   25.000000   -0.750918       inf           inf           inf       inf   inf   inf
259         2      1       3     -0.000001   -0.018086   0.000127   -0.000127   -0.013863   0.000000   -0.750595   25.000000   0.750645
260         1      3       0     -0.030482   -0.012457   0.000000   0.569383   25.000000   0.750619      inf         inf         inf   
261         3      0       0     0.913577   25.000000   -0.748767       inf           inf           inf       inf   inf   inf
262         1      3       0     -0.012700   -0.000213   0.000000   0.674397   25.000000   0.750618      inf         inf         inf   
263         2      1       3     -0.000094   -0.226696   0.006519   -0.006541   -0.010017   0.000000   -0.750616   25.000000   0.750620
264         1      3       0     -0.043425   0.015527   0.000000   0.487891   25.000000   0.750615      inf         inf         inf   
265         3      0       0     0.828961   25.000000   -0.748222       inf           inf           inf       inf   inf   inf
266         1      2       3     -0.006948   -0.011921   0.000000   -0.000091   0.226962   0.007169   -0.750607   25.000000   0.750631
267         3      0       0     0.835089   25.000000   -0.751204       inf           inf           inf       inf   inf   inf
268         1      3       0     -0.031571   0.005059   0.000000   0.560331   25.000000   0.750617      inf         inf         inf   
269         1      3       0     -0.042677   -0.013320   0.000000   0.496083   25.000000   0.750619      inf         inf         inf   
270         1      3       0     -0.025800   0.011913   0.000000   0.593931   25.000000   0.750616      inf         inf         inf   
271         3      0       0     1.010583   25.000000   -0.750061       inf           inf           inf       inf   inf   inf
272         3      0       0     0.983475   25.000000   -0.752086       inf           inf           inf       inf   inf   inf
273         2      1       3     -0.000263   -0.376364   0.010887   -0.010954   -0.014829   0.000000   -0.750597   25.000000   0.750643
274         3      0       0     0.939907   25.000000   -0.752534       inf           inf           inf       inf   inf   inf
275         1      3       0     -0.044503   -0.012402   0.000000   0.484975   25.000000   0.750619      inf         inf         inf   
276         1      3       0     -0.014050   0.014768   0.000000   0.663851   25.000000   0.750616      inf         inf         inf   
277         1      3       0     -0.046371   0.009443   0.000000   0.471008   25.000000   0.750616      inf         inf         inf   
278         1      3       0     -0.019233   -0.009359   0.000000   0.636604   25.000000   0.750619      inf         inf         inf   
279         3      0       0     0.897514   25.000000   -0.751476       inf           inf           inf       inf   inf   inf
280         1      3       0     -0.027831   0.011604   0.000000   0.581808   25.000000   0.750616      inf         inf         inf   
